タイトル,あらすじ,ジャンル
TOO YOUNG TO DIE! 若くして死ぬ,バスの事故で死んでしまったフツーの高校生・大助がやってきたのは、なんとホンモノの地獄! どうにか現世に転生するため、地獄専属ロックバンドに入ることに。,コミカルなコメディ
この世界の片隅に,生まれ育った広島市を離れ呉の町に嫁いできたすずは、つつましくも明るく一家の生活を支えていた。だが戦争は非情にも彼女の大切なものを次々と奪ってゆく。,日本アカデミー賞受賞映画
闇金ウシジマくん Part 3,派遣の仕事をしながら食いつないでいた青年が、人生の一発逆転を狙い、マルチまがいのマーケティングビジネスに手を染める。そしてウシジマに金を借りることに。,ヒューマンドラマ
ONE PIECE FILM GOLD,"世界中の大富豪たちが集う、世界最大のエンターテインメントシティー""グラン・テゾーロ""。そこでルフィたちの前に、絶対的な支配者ギルド・テゾーロが現れる。",国内アクション・アドベンチャー
闇金ウシジマくん ザ・ファイナル,『闇金ウシジマくん』シリーズのラストを飾る本作品。ウシジマの現在と過去が交錯する中、日の当らない裏街道、金融の世界に入って行った彼のルーツが明らかに。,ヒューマンドラマ
日本で一番悪い奴ら,正義感に燃える刑事が点数を稼ぐべく、裏社会に飛び込んでゆく。次第に悪徳捜査はエスカレートし...。日本警察史上最大の不祥事とされる衝撃の実話に基づく作品。,アクションコメディ
続・深夜食堂,"葬式で思わぬ出会いをした女性、詐欺にかかったらしい母、恋に悩むそば屋の息子。路地裏にたたずむ""めしや""を舞台に、個性豊かな客たちが織り成す悲喜こもごも。",漫画が原作の国内映画
怒り,"夏の暑い日に八王子で夫婦殺人事件が発生。犯人は逃走、現場には""怒""の血文字が残されていた。1年後、千葉、東京、沖縄に素性の知れない3人の男が現れる。",日本アカデミー賞受賞映画
秘密 THE TOP SECRET,"新人捜査官・青木が配属されたのは、特別捜査機関""第九""。そこでは、死者の脳に残された記憶を映像化するMRI捜査を駆使し、迷宮入り事件の謎に挑んでいた。",国内SF・ファンタジー
ミュージアム,雨の日に発生する連続殺人事件。カエルのマスクを被り、猟奇殺人を繰り返す犯人を追う刑事は、事件の関連性を調べるうちに犯行の共通性に気付くが...。,国内犯罪捜査
殿、利息でござる!,重税に苦しむ小さな宿場町が、町を救うため、藩に大金を貸し付け利息を巻き上げるという前代未聞の秘策を考えつく。これぞ、貧乏町人による、お上相手の大勝負!,日本アカデミー賞受賞映画
テラフォーマーズ,人類の存亡をかけた火星地球化計画の開始から500年。計画の総仕上げのために火星に降り立った15人の隊員を、異常に進化した凶暴な人型生物たちが襲う!,国内SF・ファンタジー
